Name|Salochki v5
Author|Ink
Difficulty|6
Description|There's no time to explain!\nLight up 14 special glowsticks to escape from 2 fire Brutes!
Version|6.1 Indev
Setting|Custom Value
Number of Random Monsters|0
Number of Brutes|2
Maximum Monster Spawntime (seconds)|1
No Monster Stun Immunity|True
Persistent Monster|True
Seer Monster|True
Brute Fire Shroud|True
Give All Monsters A Fire Shroud|True
Fire Shroud Radius|5
Fire Blast Radius|500
Glowstick Hunt|True
Special Glowsticks Required|14
Special Glowsticks To Create|24
No Time Freeze In Pause Menu|True
No Hiding|True
Disable Liferaft|True
Disable Helicopter|True
Disable Submersible|True
Inventory Size|3
Player Movement Speed Multiplier|1.125
Infinite Flashlight Power|True
Use Deck Four On Submersible Side|True
Lengthened Cargo Hold Corridors|True
Add Lower Deck Next To Engine Room|True
Number Of Corridors To Cargo Hold From New Lower Deck|2
Diverse Item Spawns|True
Spawn Items Anywhere|True
No Doors|True
Flashlight Intensity Multiplier|2
Flashlight Range Multiplier|2
Glowstick Intensity Multiplier|2
Glowstick Range Multiplier|2
Custom Music Pack|3
